primarytext,header2,header3,img links,cta
Become a Swiggy Delivery Partner & secure your familyтАЩs future.,"Earn up to Rs.25,000 p.m",,,Apply Now
Become a Swiggy Delivery Partner & secure your familyтАЩs future.,Earn upto Rs.25000 p.m.,,,Apply Now
Swiggy рдХреЗ рд╕рд╛рде рдбреЗрд▓рд┐рд╡рд░ рдХрд░реЗрдВ рдФрд░ рдЕрдЪреНрдЫреА рдХрдорд╛рдИ рдХреЗ рд╕рд╛рде рдЕрдкрдиреЗ рдкрд░рд┐рд╡рд╛рд░ рдХрд╛ рднрд╡рд┐рд╖реНрдп рд╕реБрд░рдХреНрд╖рд┐рдд рдХрд░реЗрдВред.,рд╕рд╡рд╛рд░реА рдХрд░реЗрдВ. рдбрд┐рд▓реАрд╡рд░ рдХрд░реЗрдВ. рдкреИрд╕реЗ рдХрдорд╛рдПрдВ,,,Apply Now
Become a Swiggy Delivery Partner & secure your familyтАЩs future.,"Earn up to Rs.25,000 p.m",,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285740130_301768522169706_1768869643034298848_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=733kw6gw_awAX-4gJ1F&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8ShxBuRLopqkv9l28hWIsjrvtMTmE593lA1wS_0x5Bwg&oe=62B36A83,Apply Now
Swiggy рдХреЗ рд╕рд╛рде рдбреЗрд▓рд┐рд╡рд░ рдХрд░реЗрдВ рдФрд░ рдЕрдЪреНрдЫреА рдХрдорд╛рдИ рдХреЗ рд╕рд╛рде рдЕрдкрдиреЗ рдкрд░рд┐рд╡рд╛рд░ рдХрд╛ рднрд╡рд┐рд╖реНрдп рд╕реБрд░рдХреНрд╖рд┐рдд рдХрд░реЗрдВред.,"тВ╣25,000 рдкреНрд░рддрд┐ рдорд╛рд╕ рддрдХ рдХрдорд╛рдЗрдПред",,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285835402_1224810278264797_5387916601566076694_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hYlIB7WX2N8AX8VT_k1&_nc_ht=scontent.fblr22-1.fna&oh=00_AT84HQdeAj7UEeVhO0vfA_UHCyfpnVnay4l5REUgNTs13w&oe=62B25CEE,Apply Now
Become a Swiggy Delivery Partner & secure your familyтАЩs future with .,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/286369409_483067816922981_8158032516320337502_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=6pzYlMIQrXIAX9wZUV4&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8YSalbfjIwHup-5IgcNcYHnP66LWSkE66qvvD9JDyQ7Q&oe=62B2584F,Apply Now
Become a Swiggy Delivery Partner & secure your familyтАЩs future.,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/286739405_502624061611616_1803463822600892967_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=X3_Rjg8NGCMAX-hRRBH&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8CkOAIFeNROMPdDqFsj6LdLQgRGl4c1x1cS8pm5F1qJg&oe=62B29F38,Apply Now
Discover new meals every day on Swiggy and get them at 50% off !,тЪа Temptation warning тЪа,,,Install Now
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.
ЁЯТ░Weekly payout and high incentives
ЁЯСк Life Insurance for you and your family
тЬиExciting performance-related rewards",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285855373_682192099537435_5651355180991137246_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=y9WsMY_OGrwAX-OEnl8&_nc_oc=AQk-cQcZ_V1k7I32-hwd31r1DHQjHjOoDtwKeNmPRpMYiHVE_FlytPr3q62NbLv_WL0&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-t4H_kd49gwMGBTj73CNKJvwb_UCG_8dVBgC9D01G3WA&oe=62B2F1D2,
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.
ЁЯТ░Weekly payout and high incentives
ЁЯСк Life Insurance for you and your family
тЬиExciting performance-related rewards",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285836027_1019852962002751_6873874282138794571_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=UIGP61BLc0kAX8e4It8&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9laPdK3rAFt9qtqEqdMD_hE-zz-usv7DemNDXkaETvAA&oe=62B26A6F,
"рк╕рлНрк╡рк┐ркЧрлА ркбрк┐рк▓рк┐рк╡рк░рлА рккрк╛рк░рлНркЯркирк░ ркмркирлЛ ркЕркирлЗ ркЙркжрлНркпрлЛркЧ рк╡рлЗркдрки, рк╡рлАркорк╛ ркХрк╡рк░ ркЕркирлЗ рк▓рк╡ркЪрлАркХ ркХрк╛ркоркирк╛ рк╕ркоркпркорк╛ркВ рк╢рлНрк░рлЗрк╖рлНрка ркмркирлЛ.",рк░рлВ.25000.00 рк╕рлБркзрлА ркорк╛рк╕рк┐ркХ ркЖрк╡ркХ,,,Apply Now
"Swiggy роЯрпЖро▓ро┐ро╡ро░ро┐ рокро╛ро░рпНроЯрпНройро░ро╛роХро┐, роЙроЩрпНроХро│рпН роХрпБроЯрпБроорпНрокродрпНродро┐ройрпН роОродро┐ро░рпНроХро╛ро▓родрпНродрпИ роиро▓рпНро▓ ро╡ро░рпБрооро╛ройроорпН рооро▒рпНро▒рпБроорпН роЪро┐ро▒роирпНрод роХро╛рокрпНрокрпАроЯрпБ роХрпКроЯрпБродрпНродрпБ рокро╛родрпБроХро╛роХрпНроХрпБроЩрпНроХро│рпН.",рооро╛родроорпН ро░рпБрокро╛ропрпН 25000 ро╡ро░рпИ роЪроорпНрокро╛родро┐ропрпБроЩрпНроХро│рпН,,,Apply Now
Become a Swiggy Delivery Partner and get best in industry salary & flexible work timings.,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285625560_1074310426768062_1664679807279674640_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=DH77Qxr6BaMAX_QaqS1&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-fAq36EPL3UIzDjqFTeRRKce5yK3Z9SAgAYPb4izgh9g&oe=62B2C25D,Apply Now
Swiggy рдХреЗ рд╕рд╛рде рдбреЗрд▓рд┐рд╡рд░ рдХрд░реЗрдВ рдФрд░ рдкрд╛рдПрдВ рдЖрдХрд░реНрд╖рдХ рдХрдорд╛рдИ рдФрд░ рдЕрдкрдиреА рдордирдкрд╕рдВрдж рд╢рд┐рдлреНрдЯред,"тВ╣25,000 рдкреНрд░рддрд┐ рдорд╛рд╕ рддрдХ рдХрдорд╛рдЗрдПред",,,Apply Now
"Swiggy рдбрд┐рд▓реАрд╡реНрд╣рд░реА рдкрд╛рд░реНрдЯрдирд░ рд╡реНрд╣рд╛, рдЖрдХрд░реНрд╖рдХ рдкреЗрдЖрдКрдЯрд╕рд╣ рдЖрдгрд┐ рдЖрдкрд▓реНрдпрд╛ рдХреБрдЯреБрдВрдмрд╛рдЪреЗ рднрд╡рд┐рд╖реНрдп рд╕реБрд░рдХреНрд╖рд┐рдд рдХрд░рд╛.","25,000 рд░реБрдкрдпреЗ рдкрд░реНрдпрдВрдд рджрд░ рдорд╣рд┐рдирд╛ рдХрдорд╡рд╛",,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285846922_759139021754400_3444672995731587641_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=vLluE1EYlu0AX-IdjVm&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-JY98AFk_qzCBLmlJIu9Tsuu9PTJ78Ow8ih-CWyP1TzA&oe=62B37823,Apply Now
Have a spread (at home!) with top restaurants on Swiggy. Get 50% off !,Get up to тВ╣125 off on your favourites,,,Install Now
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284685275_334139282018286_7851544324856071634_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ogolonWDoHYAX8sDudR&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9MrZo6JVGCU-owagzXqccmToUgPfReBD68xqXgbmROlA&oe=62B26489,
Indulge into your favourite Chaats with Swiggy. Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284478158_528734358801966_8350210361005999140_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=2WA8TJfzSQAAX9MAdEU&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8CHOMqOm-OFrl2_FsVQXbx6_31RBQPv7Qsv9fF0ucobQ&oe=62B3098C,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284880644_410377090946652_2896873000914515284_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hHIxZAU5NUoAX8cLkCL&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8f7eazvmQMkTci-vdTB4Ot_BsB3FDd2QOQWESNmCBtnw&oe=62B32403,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/281578453_581814559897518_1062338711127505561_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=iJ_TUS9oluEAX8qE-Qi&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-rWc6v4frK5sQ-QZU9VZHj0ox90E_eMfz8BAAPrqZS-w&oe=62B21447,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284672099_1044260239522617_106250200686844427_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=umicKEOWJtUAX_5b9JZ&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_RbZ7frSJ0w0CuuYSQJzid9bGBC-hL4-q6OJqLKHuiWg&oe=62B2CA34,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/283573421_458135059409557_3596833787362481426_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=S7bW_e3LXggAX8NjT7P&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-XsBvCM9YXrpPZzD5WyrDEN-SG8lY6EO_HVlTE1ulcng&oe=62B3593C,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/283145790_581632923507801_566421543011596257_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=BAU62jYp71QAX9iZSgH&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9EUyzi87E00sL_a0v-seEfUN2fdAmUBRdgR7bDOVyENw&oe=62B280F6,
"Indulge into your favourite Chaats with Swiggy.
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284950258_380213647473450_7149618379306776083_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=8N5Bql2CVKAAX9XvMfN&_nc_ht=scontent.fblr22-1.fna&oh=00_AT836zPMG6jLMgjQowXUcWbnqPEChywahRKqq87YCUaHkQ&oe=62B2F036,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285129130_386545856747894_1300511761881108428_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=jcrR_GB556kAX8pJtyC&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_U8yq5vNLmkMriYjD6P5WNiCpktY36lVhSCP7Um7q0Dw&oe=62B32835,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284882760_5222982611088060_4613707890240140472_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=WPc09t24zjUAX82_fG2&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-FFf2rhgEjiIl1eQTzQEto_dchC_kEKIDybyluYZtgPw&oe=62B379D9,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",Super fast delivery,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284771602_1069458007329141_6836574231744993852_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=EN9r5mr5fJwAX9ZEGOQ&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8KkUnB3ap5q3gmwGMt9q9bAY5-5fko45TsXLtS0ng8Kg&oe=62B1FD91,Install Now
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,Order online on Swiggy,"Order food, groceries & essentials online, & get quick doorstep deliveries.",https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284846025_547085533820681_5580839355097020142_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ccFvH7zb0YUAX-jpFu-&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-qpPu7iRsI6SPSZTcNmPWlTW2MshHseq_KyOvgdb-pEw&oe=62B1CB81,Install Now
Indulge into your favourite Chaats with Swiggy. Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284944006_538041194702303_5726822161722421910_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=azBBNFLm33cAX-sxlVo&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9kPUYg9oyAq0CD-bpBTpgzCd2V2TKRykuIK1Ie3FhOYQ&oe=62B1C138,
